timestamp,temperature,feels_like,humidity,description,wind_speed,location
2025-03-20 10:54:01,32.26,39.26,66,few clouds,5.14,chennai
2025-03-20 11:09:02,34.88,35.39,34,few clouds,5.66,coimbatore
2025-03-20 11:06:29,31.64,38.05,66,few clouds,5.14,chennai
2025-03-20 11:09:02,34.88,35.39,34,few clouds,5.66,coimbatore
